municipio,coef_vial,se_vial,ci_vial_lower,ci_vial_upper,coef_area,se_area,ci_area_lower,ci_area_upper
Municipio San Lucas,0.7969207976818086,0.3554001149788797,0.06412008161792816,1.5568388024415365,-0.2285460196807325,0.0791580786521887,-0.3846719667415369,-0.052664846489650655
Municipio San Nicolas,0.8213127179404999,0.3525289546088103,0.13430234798110746,1.5878346956784894,-0.22870362449321016,0.08222847224052869,-0.39122406260462356,-0.062087779756592826
Municipio San Pedro de Lóvago,0.831551921130468,0.34746995918639034,0.062646394298978,1.555362016516253,-0.23215070050338726,0.07679325455086593,-0.38472389746949576,-0.08073940252541494
Municipio San Rafael del Norte,0.7638111607177016,0.3441589073735713,-0.011778041924107804,1.395186667392979,-0.2290873190923489,0.07803618525502491,-0.3976720813985167,-0.07876788617375681
Municipio San Ramon,0.8133896685841434,0.35166119204650326,0.031286569155032126,1.5134288708050612,-0.2331882404381291,0.07814246148245987,-0.3830395137741435,-0.07519955093516145
Municipio Santa Lucía,0.8250921722609285,0.35617480803700924,0.1352439398221712,1.5946401858075725,-0.2290299562554246,0.08016121654390873,-0.3953528417213416,-0.06854957414865846
Municipio Santa María,0.8176088721427704,0.34812015883499353,0.11326968641509501,1.5608318852632763,-0.22930533722298777,0.07896254227819628,-0.382222638711711,-0.06316556785539357
Municipio Santa María de Pantasma,0.8014826807923455,0.3522553392680218,0.04201712271460905,1.528670274139281,-0.23158738449359476,0.0763027438922147,-0.3766119097890397,-0.06942793977944872
Municipio Santa Rosa del Peñón,0.8221153370412451,0.3517660765811895,0.0519547720290208,1.5365438366336528,-0.23051280400735918,0.07918593630032358,-0.3696484673860547,-0.061518760946682856
Municipio Santo Domingo,0.8254453055182694,0.35291652393802264,0.0964674795968832,1.5665466904913132,-0.23179883844879862,0.07886158276896775,-0.38131393129206353,-0.07154999333187749
Municipio Santo Tomás,0.8295132510544051,0.36178115242364073,0.06964561658444406,1.583841288284431,-0.2326471986645067,0.07750151169817944,-0.39949946199439745,-0.08512493891331177
Municipio Sebaco,0.8183637864783037,0.3540741026063185,0.03482233858573538,1.4925977923292884,-0.23155232142652477,0.07844597194841883,-0.3966615378112127,-0.06694828149685139
Municipio Siuna,0.8282420963158895,0.36278711767219446,0.1204969527560333,1.6194808884737728,-0.23318841969833273,0.07943808852428583,-0.3936382756306145,-0.08051103588294092
Municipio Telica,0.8287316964579667,0.3635458526541812,0.05077870538719431,1.5497156654681021,-0.232543128041962,0.07698674529166455,-0.3824235366199987,-0.07189770020753437
Municipio Telpaneca,0.8082556720773254,0.35530377648344064,0.008609841321202518,1.4938101036545417,-0.23085470463511706,0.07691307697417905,-0.36767988646982785,-0.06519970145155625
Municipio Terrabona,0.8161256809221171,0.34496191162373935,0.08337151620133601,1.5230245367098072,-0.23059111962578197,0.0782471394749625,-0.3916680537063389,-0.07888281713751003
Municipio Teustepe,0.825772080331031,0.354166564296481,0.01595013403420741,1.5400124249775362,-0.23157618785845716,0.0786717928134906,-0.39661205991160686,-0.0795152377611406
Municipio Villa Sandino,0.8250251005259824,0.34488699299962783,0.06918193412888125,1.5021136517156368,-0.2321144701513806,0.08249007787812822,-0.3951194461358414,-0.07051085681306274
Municipio Waslala,0.820016060679363,0.3602900604177394,0.03546811442951679,1.5808284757971398,-0.23196941906268723,0.07779153721218991,-0.39978090994477666,-0.09040090741401732
Municipio Waspán,0.8326164356906492,0.33995580188862484,0.12662497923122235,1.531157729794966,-0.2346399696493907,0.0810980571117453,-0.38793657113568963,-0.06496145016628228
Municipio Wiwilí de Jinotega,0.8178687953401657,0.34548105651699734,0.10597398297469067,1.5429810946972657,-0.23234037736868896,0.07774314848251364,-0.3889560092355743,-0.07773141282564189
Municipio Wiwilí de Nueva Segovia,0.8145958051223126,0.35185477183742936,0.0594702894053167,1.5383740476196648,-0.23040575912194766,0.08042096134915255,-0.3992452910661159,-0.07889051395645408
Municipio Yalagüina,0.7672754705982183,0.3424367587689304,0.01610660871810149,1.4288839951048669,-0.22322880396041275,0.07879008063816914,-0.3717645315091493,-0.04974635521814335
